,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Unc_Flux_Density,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,LP_SigCurv,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,PLEC_SigCurv,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,Unc_PLEC_Exp_Index,Npred,ASSOC_GAM,TEVCAT_FLAG,ASSOC_TEV,CLASS,ASSOC1,ASSOC2,ASSOC_PROB_BAY
533,FL8Y J0248.3+6023 ,42.0804,60.3856,136.89268,0.72131354,0.0265,0.026,81.03,95,                  ,34.78544,995.14764,7.431405e-12,3.049454e-13,4.0247485e-09,1.6630827e-10,4.1367625e-11,3.2131537e-12,PLSuperExpCutoff2,2.7240248,0.032704633,9.474774,2.518213,0.17592515,0.3997362,0.05844793,10.03448,1.4886311,0.16836202,0.014216779,0.0019178295,0.6666667,,3963.0474,3FGL J0248.5+6022 ,N,                        ,PSR    ,PSR J0248+6021            ,                          ,0.9999262
534,FL8Y J0248.6+5132 ,42.1592,51.5356,140.80096,-7.2237206,0.0207,0.0199,7.9,354,                  ,23.418411,3047.9375,1.2179979e-13,8.219181e-15,1.1241926e-09,7.65268e-11,1.2522284e-11,8.454611e-13,PowerLaw         ,2.019995,0.05129075,2.9004922,1.9295659,0.08137128,0.096122056,0.039872922,3.7231057,1.6123335,0.15020753,0.0016434868,0.0006126999,0.6666667,,1072.2975,3FHL J0248.6+5132 ,N,                        ,bcu    ,RFC J0248+5131            ,                          ,0.9916261
535,FL8Y J0248.6+4230 ,42.1706,42.5036,144.9065,-15.310476,0.0694,0.0672,55.94,990,                  ,9.992674,2134.0215,1.1276245e-13,1.4811664e-14,3.7880593e-10,4.9859165e-11,1.8264999e-12,2.407555e-13,PLSuperExpCutoff2,2.18929,0.09893138,4.997399,2.2174852,0.25500265,0.9054319,0.28530294,5.055005,0.0014443127,,0.018883247,0.0018945364,0.6666667,,240.96138,3FGL J0248.5+4232 ,N,                        ,psr    ,PSR J0248+4230            ,                          ,0.99995565
536,FL8Y J0249.8-8224 ,42.4731,-82.4067,298.4326,-33.657494,0.091,0.0718,-74.34,555,                  ,12.992954,612.50867,2.175619e-12,1.9147016e-13,3.4201494e-10,4.3164087e-11,6.581151e-12,6.266497e-13,PowerLaw         ,2.6964607,0.08401273,0.64433867,2.6617403,0.10887667,0.038287666,0.06159137,1.2937881,2.4499764,0.21498062,0.0030983419,0.0025879992,0.6666667,,952.6622,3FGL J0244.4-8224 ,N,                        ,bcu    ,PMN J0251-8226            ,                          ,0.99256235
537,FL8Y J0250.5+8435 ,42.6333,84.5957,125.831696,22.408049,0.0384,0.0331,12.1,1246,                  ,15.583765,1987.9579,1.2467132e-13,1.1191084e-14,4.7468535e-10,4.298298e-11,5.3062645e-12,4.764023e-13,PowerLaw         ,2.1246512,0.06852215,2.3020766,1.9866132,0.11293957,0.12160691,0.06506651,2.978743,1.6520144,0.20882915,0.0024915163,0.0011043096,0.6666667,,704.6016,3FHL J0249.7+8434 ,N,                        ,bcu    ,NVSS J024948+843556       ,                          ,0.9972949
538,FL8Y J0250.6+1712 ,42.6555,17.2043,159.44281,-37.07815,0.0269,0.0265,-65.3,1539,                  ,14.198818,4621.5796,2.3666343e-14,2.8139756e-15,4.5898355e-10,5.7053258e-11,5.5533442e-12,6.7400735e-13,PowerLaw         ,1.8285518,0.08490035,0.47839832,1.7940524,0.11861257,0.025237843,0.05393799,0.8796181,1.7195281,0.16333808,0.00025491935,0.00033768287,0.6666667,,324.81036,3FHL J0250.5+1712 ,N,                        ,bll    ,NVSS J025037+171209       ,                          ,0.9996578
539,FL8Y J0250.7+5630 ,42.689,56.515,138.87743,-2.6171925,0.0297,0.0283,-15.21,1103,                  ,10.46714,3538.2742,4.534826e-14,5.625922e-15,5.982496e-10,7.9174764e-11,6.7646375e-12,1.0070957e-12,PowerLaw         ,2.1673884,0.107785344,1.1346177,2.1977377,0.08818623,-0.0519258,0.03902181,0.6945314,2.2402966,0.1409326,-0.00023862459,0.0002696722,0.6666667,,588.661,3FHL J0250.7+5631 ,N,                        ,bcu    ,NVSS J025047+562935       ,                          ,0.99518067
540,FL8Y J0251.0+2605 ,42.7543,26.096,153.87886,-29.494263,0.0467,0.0423,11.56,198,                  ,16.650524,1450.8403,5.386762e-13,5.262246e-14,8.3760204e-10,7.34646e-11,4.1416753e-12,4.5375032e-13,PLSuperExpCutoff2,2.2589843,0.0636988,6.887095,1.9265838,0.15348972,0.7183397,0.19178458,7.085257,0.070266485,0.4734008,0.020343931,0.004416064,0.6666667,,517.986,3FGL J0251.1+2603 ,N,                        ,psr    ,PSR J0251+2606            ,                          ,0.9999885
541,FL8Y J0251.1-1830 ,42.7844,-18.5066,201.89621,-61.18522,0.0327,0.0316,-54.46,1086,                  ,9.071332,6766.975,4.71229e-15,9.229755e-16,1.5959731e-10,3.304361e-11,2.3338055e-12,4.8131025e-13,PowerLaw         ,1.6304153,0.1132374,3.6841767,1.2881505,0.29665607,0.49194458,0.22481199,3.715945,-0.041602414,0.78403515,0.0049148495,0.0025169763,0.6666667,,96.67235,3FHL J0251.2-1830 ,N,                        ,       ,                          ,                          ,0.0
542,FL8Y J0251.5-5958 ,42.8989,-59.9721,279.31757,-51.29083,0.0731,0.0532,-28.84,1030,                  ,9.913452,1684.4429,9.677828e-14,1.307342e-14,2.5001823e-10,3.4586726e-11,2.9244515e-12,4.0651954e-13,PowerLaw         ,2.2428005,0.111859515,1.0967373,2.1608043,0.16641583,0.087703906,0.09440056,1.5782013,1.8635246,0.3175001,0.002377448,0.001934233,0.6666667,,385.45688,3FGL J0251.5-5959 ,N,                        ,fsrq   ,PKS 0250-602              ,                          ,0.9970347
