Source_Name	KNeighborsClassifier	LinearSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J0150.3+4850 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0153.3+5416 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0156.2-2420 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0159.0+3313 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0159.6+1257 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0202.3+1148 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0202.4+2943 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0204.3-3139 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0204.6+6655 	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN	AGN	AGN
FL8Y J0206.0-0957 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0207.9+2202 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0208.0+0954 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0209.6+2623 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0211.7+6220 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN
FL8Y J0212.1+5320 	PSR	AGN	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	PSR
FL8Y J0213.8-6950 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0215.4-3717 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0216.0+5337 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0219.1+6111 	PSR	PSR	PSR	PSR	PSR	PSR	PSR	PSR	PSR	PSR	PSR
FL8Y J0222.7+5015 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0223.4+5415 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0225.4+6024 	AGN	AGN	AGN	PSR	AGN	AGN	PSR	PSR	PSR	AGN	PSR
FL8Y J0225.5-5530 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0225.8+1310 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0226.9+7744 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0227.2-1740 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0230.2+1714 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0233.1+3740 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0233.8+6002 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN
FL8Y J0235.3+5649 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN
FL8Y J0235.3+6240 	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	PSR	AGN	AGN
FL8Y J0237.1-0714 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0237.3+1959 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0237.8+5238 	PSR	AGN	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	PSR
FL8Y J0238.9+2554 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0239.5+6636 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0240.2-0249 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0242.8+1733 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
