Source_Name	KNeighborsClassifier	LinearSVM	RBFSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J0952.2-0608 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0953.6-1509 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0955.4-3949 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0959.3-5617 	YNG	MSP	MSP	YNG	YNG	YNG	MSP	YNG	MSP	YNG	YNG	YNG
FL8Y J1001.6-5709 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1001.7-5735 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1004.6-5727 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1004.8-5215 	MSP	MSP	MSP	MSP	MSP	YNG	YNG	YNG	MSP	YNG	YNG	MSP
FL8Y J1005.4-5638 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1008.6-5704 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1010.6-5643 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1019.8-5724 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1020.4-5314 	MSP	MSP	MSP	MSP	MSP	MSP	YNG	YNG	YNG	MSP	YNG	MSP
FL8Y J1026.4-5731 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1035.4-6720 	MSP	MSP	MSP	MSP	MSP	MSP	YNG	YNG	MSP	MSP	YNG	MSP
FL8Y J1037.1-5848 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1037.6-5810 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J1043.3-5941 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1046.8-6008 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1048.6-6117 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1048.6-5923 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1051.4-5933 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG
FL8Y J1054.5-5938 	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1056.9-6321 	YNG	MSP	MSP	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1058.7-6100 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1059.4+0226 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1102.0-6054 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1106.7-1743 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1115.0-6118 	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1118.4-6157 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1119.9-2204 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1120.6+0713 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1124.0-6057 	YNG	MSP	YNG	YNG	YNG	YNG	MSP	YNG	MSP	YNG	YNG	YNG
FL8Y J1127.8-6201 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1133.4-6227 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
